"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","04.01.2023 01:00 - 04.01.2023 02:00 (CET/CEST)","344","n/e","n/e","74","192","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","602","312"
"BZN|DK2","04.01.2023 02:00 - 04.01.2023 03:00 (CET/CEST)","212","n/e","n/e","75","195","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","753","368"
"BZN|DK2","04.01.2023 03:00 - 04.01.2023 04:00 (CET/CEST)","243","n/e","n/e","72","190","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","838","428"
"BZN|DK2","04.01.2023 04:00 - 04.01.2023 05:00 (CET/CEST)","235","n/e","n/e","71","189","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","57","885","454"
"BZN|DK2","04.01.2023 05:00 - 04.01.2023 06:00 (CET/CEST)","328","n/e","n/e","72","189","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","56","908","476"
"BZN|DK2","04.01.2023 06:00 - 04.01.2023 07:00 (CET/CEST)","405","n/e","n/e","75","195","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","943","510"
"BZN|DK2","04.01.2023 07:00 - 04.01.2023 08:00 (CET/CEST)","460","n/e","n/e","75","191","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","58","944","513"
"BZN|DK2","04.01.2023 08:00 - 04.01.2023 09:00 (CET/CEST)","485","n/e","n/e","74","192","23","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","60","943","520"
"BZN|DK2","04.01.2023 09:00 - 04.01.2023 10:00 (CET/CEST)","448","n/e","n/e","71","187","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","2","59","943","509"
"BZN|DK2","04.01.2023 10:00 - 04.01.2023 11:00 (CET/CEST)","455","n/e","n/e","76","196","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","4","59","943","526"
"BZN|DK2","04.01.2023 11:00 - 04.01.2023 12:00 (CET/CEST)","449","n/e","n/e","72","188","32","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","8","57","943","532"
"BZN|DK2","04.01.2023 12:00 - 04.01.2023 13:00 (CET/CEST)","358","n/e","n/e","78","198","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","15","57","942","499"
"BZN|DK2","04.01.2023 13:00 - 04.01.2023 14:00 (CET/CEST)","352","n/e","n/e","79","201","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","16","58","936","451"
"BZN|DK2","04.01.2023 14:00 - 04.01.2023 15:00 (CET/CEST)","365","n/e","n/e","75","197","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","7","58","937","433"
"BZN|DK2","04.01.2023 15:00 - 04.01.2023 16:00 (CET/CEST)","373","n/e","n/e","74","197","34","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","1","58","936","485"
